Wysokość (h [m]),Siła ciążenia (Fg [N]),Temperatura (T [K]),Ciśnienie (p [Pa]),Gęstość powietrza (ρ [kg/m^3])
1560,508.424,294.74,84553.38413773407,0.9993885374301186
1570,508.228,294.655,84451.06744122949,0.998467141066907
1580,508.0320000000001,294.57,84348.81561545869,0.9975459801440939
1590,507.836,294.485,84246.628673717,0.9966250550228338
1600,507.64,294.4,84144.50662927426,0.9957043660643958
1610,507.4440000000001,294.315,84042.44949537473,0.9947839136301642
1620,507.248,294.23,83940.45728523708,0.993863698081637
1630,507.05199999999996,294.145,83838.53001205434,0.9929437197804278
1640,506.85600000000005,294.06,83736.66768899387,0.9920239790882627
1650,506.6600000000001,293.975,83634.87032919729,0.9911044763669822
1660,506.46400000000006,293.89,83533.13794578049,0.9901852119785397
1670,506.26800000000003,293.805,83431.47055183351,0.9892661862850017
1680,506.07200000000006,293.72,83329.86816042056,0.9883473996485466
1690,505.87600000000003,293.635,83228.33078458,0.9874288524314664
1700,505.68,293.55,83126.85843732419,0.9865105449961631
1710,505.48400000000004,293.465,83025.45113163958,0.9855924777051522
1720,505.28800000000007,293.38,82924.10888048659,0.984674650921059
1730,505.09200000000004,293.295,82822.83169679956,0.9837570650066204
1740,504.8960000000001,293.21,82721.61959348677,0.9828397203246837
1750,504.70000000000005,293.125,82620.47258343034,0.9819226172382065
1760,504.5040000000001,293.04,82519.39067948626,0.9810057561102564
1770,504.30800000000005,292.955,82418.3738944842,0.9800891373040105
1780,504.112,292.87,82317.42224122767,0.9791727611827545
1790,503.91600000000005,292.785,82216.53573249382,0.9782566281098843
1800,503.7200000000001,292.7,82115.71438103347,0.9773407384489031
1810,503.524,292.615,82014.95819957105,0.9764250925634231
1820,503.32800000000003,292.53,81914.26720080456,0.9755096908171642
1830,503.13200000000006,292.445,81813.64139740553,0.9745945335739533
1840,502.93600000000004,292.36,81713.080802019,0.9736796211977253
1850,502.74,292.275,81612.5854272634,0.9727649540525217
1860,502.54400000000004,292.19,81512.15528573062,0.9718505325024899
1870,502.348,292.105,81411.79038998586,0.9709363569118841
1880,502.15200000000004,292.02,81311.4907525677,0.9700224276450643
1890,501.956,291.935,81211.25638598794,0.9691087450664958
1900,501.76000000000005,291.85,81111.08730273167,0.9681953095407488
1910,501.564,291.765,81010.98351525709,0.9672821214324987
1920,501.368,291.68,80910.94503599567,0.966369181106525
1930,501.172,291.595,80810.97187735185,0.9654564889277112
1940,500.97600000000006,291.51,80711.06405170327,0.9645440452610452
1950,500.78,291.425,80611.22157140053,0.9636318504716174
1960,500.584,291.34,80511.44444876719,0.9627199049246215
1970,500.38800000000003,291.255,80411.7326960998,0.961808208985354
1980,500.192,291.17,80312.08632566775,0.9608967630192131
1990,499.996,291.085,80212.50534971338,0.9599855673917006
2000,499.8,291.0,80112.98978045177,0.9590746224684178
2010,499.604,290.915,80013.53963007075,0.9581639286150682
2020,499.4080000000001,290.83,79914.15491073095,0.9572534861974566
2030,499.212,290.745,79814.83563456566,0.9563432955814876
2040,499.0160000000001,290.66,79715.58181368081,0.9554333571331661
2050,498.82000000000005,290.575,79616.39346015488,0.9545236712185968
2060,498.6240000000001,290.49,79517.27058603904,0.9536142382039844
2070,498.42800000000005,290.405,79418.21320335683,0.9527050584556314
2080,498.2320000000001,290.32,79319.22132410438,0.9517961323399403
2090,498.03600000000006,290.235,79220.29496025019,0.9508874602234112
2100,497.84000000000003,290.15,79121.43412373515,0.9499790424726424
2110,497.64400000000006,290.065,79022.63882647254,0.9490708794543298
2120,497.4480000000001,289.98,78923.90908034789,0.9481629715352662
2130,497.25200000000007,289.895,78825.24489721903,0.9472553190823418
2140,497.05600000000004,289.81,78726.64628891602,0.9463479224625431
2150,496.86000000000007,289.725,78628.11326724106,0.9454407820429522
2160,496.66400000000004,289.64,78529.64584396848,0.944533898190748
2170,496.468,289.555,78431.24403084474,0.9436272712732033
2180,496.27200000000005,289.47,78332.90783958834,0.9427209016576876
2190,496.0760000000001,289.385,78234.63728188977,0.9418147897116639
2200,495.88000000000005,289.3,78136.43236941147,0.9409089358026894
2210,495.684,289.215,78038.29311378785,0.9400033402984159
2220,495.48800000000006,289.13,77940.21952662517,0.9390980035665883
2230,495.29200000000003,289.045,77842.2116195015,0.9381929259750442
2240,495.096,288.96,77744.26940396675,0.9372881078917152
2250,494.90000000000003,288.875,77646.39289154253,0.9363835496846232
2260,494.70400000000006,288.79,77548.5820937222,0.9354792517218842
2270,494.50800000000004,288.705,77450.83702197079,0.9345752143717048
2280,494.312,288.62,77353.15768772486,0.9336714380023822
2290,494.11600000000004,288.535,77255.54410239267,0.9327679229823056
2300,493.92,288.45,77157.99627735394,0.9318646696799545
2310,493.72400000000005,288.365,77060.51422395991,0.9309616784638974
2320,493.528,288.28,76963.09795353324,0.9300589497027938
2330,493.33200000000005,288.195,76865.74747736804,0.9291564837653912
2340,493.136,288.11,76768.46280672973,0.9282542810205269
2350,492.94,288.025,76671.24395285509,0.9273523418371264
2360,492.744,287.94,76574.09092695218,0.9264506665842038
2370,492.548,287.855,76477.00374020023,0.9255492556308595
2380,492.35200000000003,287.77,76379.98240374976,0.9246481093462833
2390,492.156,287.685,76283.02692872236,0.9237472280997499
2400,491.96000000000004,287.6,76186.13732621074,0.9228466122606216
2410,491.764,287.515,76089.31360727869,0.9219462621983472
2420,491.568,287.43,75992.55578296098,0.9210461782824599
2430,491.372,287.345,75895.8638642634,0.9201463608825798
2440,491.1760000000001,287.26,75799.23786216264,0.9192468103684107
